PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,2,USD,490926.19,24762.00
S598958A,CB,2,USD,266609.78,8828.00
S598958A,CB,2,USD,123351.92,3574.00
S598958A,CB,2,USD,552389.78,6278.00
S598958A,CB,2,USD,476372.53,5471.00
S598958A,CB,2,USD,289286.15,11359.00
S598958A,CB,2,USD,84734.44,1780.00
S598958A,CB,2,USD,277670.25,6484.00
S598958A,CB,2,USD,151041.49,8003.00
S598958A,CB,2,USD,20894.52,2813.00
S598958A,CB,2,USD,139083.07,2157.00
S598958A,CB,2,USD,333498.33,25306.00
S598958A,CB,2,USD,363702.31,3405.00
S598958A,CB,2,USD,91950.31,2526.00
S598958A,CB,2,USD,53901.58,11790.00
S598958A,CB,2,USD,4.98,2.00
S598958A,CB,2,USD,101613.50,11836.00
S598958A,CB,2,USD,69539.96,11511.00
S598958A,CB,2,USD,830010.43,14471.00
S598958A,CB,2,USD,11666.17,18172.00
S598958A,CB,2,USD,318427.08,6668.00
S598958A,CB,2,USD,424396.05,4197.00
S598958A,CB,2,USD,257274.04,5739.00
S598958A,CB,2,USD,124382.88,4892.00
S598958A,CB,2,USD,107738.10,2020.00
S598958A,CB,2,USD,117068.16,3499.00
S598958A,CB,2,USD,448146.59,5054.00
S598958A,CB,2,USD,341538.30,4495.00
S598958A,CB,2,USD,483667.90,612.00
S598958A,CB,2,USD,52299.00,5040.00
S598958A,CB,2,USD,358106.68,7862.00
S598958A,CB,2,USD,90526.61,1990.00
S598958A,CB,2,USD,4955.10,1990.00
S598958A,CB,2,USD,69256.32,2550.00
S598958A,CB,2,USD,406106.10,24251.00
S598958A,CB,2,USD,204747.20,4907.00
S598958A,CB,2,USD,84788.34,5903.00
S598958A,CB,2,USD,121978.72,3456.00
S598958A,CB,2,USD,73140.56,1392.00
S598958A,CB,2,USD,306978.10,5349.00
S598958A,CB,2,USD,29052.80,1953.00
S598958A,CB,2,USD,402672.13,2960.00
S598958A,CB,2,USD,141056.88,3916.00
S598958A,CB,2,USD,551768.96,5950.00
S598958A,CB,2,USD,78872.32,3241.00
S598958A,CB,2,USD,116985.76,3173.00
S598958A,CB,2,USD,125620.67,54099.00
S598958A,CB,2,USD,332329.40,16690.00
S598958A,CB,2,USD,142036.90,1678.00
S598958A,CB,2,USD,431807.62,4464.00
S598958A,CB,2,USD,202466.25,3673.00
S598958A,CB,2,USD,251098.12,11630.00
S598958A,CB,2,USD,626788.97,3223.00
S598958A,CB,2,USD,570543.61,4322.00
S598958A,CB,2,USD,511595.52,7356.00
S598958A,CB,2,USD,270418.52,30813.00
S598958A,CB,2,USD,585059.66,2904.00
S598958A,CB,2,USD,433964.11,10929.00
S598958A,CB,2,USD,96159.57,2370.00
S598958A,CB,2,USD,383331.11,4052.00
S598958A,CB,2,USD,383547.70,22177.00
S598958A,CB,2,USD,192284.46,4159.00
S598958A,CB,2,USD,39120.95,1829.00
S598958A,CB,2,USD,129240.26,4672.00
